nom_rue,longueur_km,segments
Gutschstraße,0.18095511850135373,1
Markgrafenstraße,4.116555683968381,12
Scheffelplatz,0.09003985297036696,1
Schirmerstraße,0.400770968120294,2
Vincentiusstraße,0.126888646345045,1
Hohenzollernstraße,1.3666546682906033,4
Geschwister-Scholl-Straße,0.6227300657250436,5
Ossietzkystraße,0.5147987581697767,3
Neubruchweg,0.18732615027594848,2
Marie-Alexandra-Straße,1.9614127462619662,5
Beiertheimer Allee,23.9680544439753,46
Schwarzwaldstraße,94.22897693839296,39
Am Stadtgarten,1.1954671796625804,6
Barbarossaplatz,0.10500951637929631,1
Leibnizstraße,0.3049541569094561,4
Finterstraße,0.6452171082935702,5
Winterstraße,27.17534880285514,3
Schnetzlerstraße,0.2845802694902525,1
Fautenbruchstraße,4.426547417598871,12
Mittelbruchstraße,1.345363951096143,13
Bahnhofstraße,365.28162003914434,54
Nebeniusstraße,3.545997382947511,9
Wilhelmstraße,103.25599397711936,20
Augartenstraße,6.052303525960382,13
Rankestraße,1.2784268543218913,5
Gervinusstraße,0.13339771556916077,2
Werderstraße,21.71030092492605,11
Schützenstraße,42.53867703011299,8
Wasserwerkstraße,3.254077083020111,15
Mozartstraße,66.04968695919514,5
Beethovenstraße,68.01013048318357,9
Weberstraße,0.523524202058258,3
Rheingoldstraße,12.809437753472196,4
Wotanstraße,0.09098386244934191,1
Brunhildenstraße,0.09023973061057997,1
Siegfriedstraße,12.348657450905167,2
Haydnplatz,0.26659428251144857,2
Victor-Gollancz-Straße,1.513912820057842,10
Hölderlinstraße,25.03150887987502,7
Emil-Gött-Straße,0.4054128153606041,3
Hansjakobstraße,19.131057999760984,2
Görresstraße,0.23675540706287526,1
Volzstraße,0.4507423099129659,1
Staudingerstraße,0.3409830918821014,1
Yorckstraße,3.9224338819798334,10
Bahnhofplatz,2.731437089095271,17
Kantstraße,79.94207566498604,6
Gebhardstraße,3.0707431712590756,12
Boeckhstraße,1.4582306482999035,6
Bürklinstraße,0.1303982701829669,1
Lenzstraße,0.11769617359805391,1
Putlitzstraße,0.3122373220319523,3
Friedrich-Blos-Straße,0.7633721340681239,6
Ernst-Frey-Straße,0.5596798276656836,3
Wilhelm-Baur-Straße,1.6572852159717055,9
Tennesseeallee,2.371955062202254,3
Kentuckyallee,3.586475837942691,7
Teutschneureuter Allee,3.8166376534322177,8
Bismarckstraße,76.66401319431596,15
Seminarstraße,17.022722149761886,7
Stutenseer Allee,48.0334910037894,26
Gellertstraße,22.225120576123334,3
Grillparzerstraße,0.26400060220251975,1
Geranienstraße,35.209405645842715,4
Klopstockstraße,0.15569824676666008,1
Peter-und-Paul-Platz,0.1308135574232426,1
Karl-Wolf-Weg,6.270825997391984,7
Hermann-Veit-Straße,5.269081141772747,24
Steinhäuserstraße,11.622358178737805,42
Gustav-Heller-Platz,0.18716343672098312,1
Siegfried-Kühn-Straße,0.3618302944506945,1
Edgar-von-Gierke-Straße,0.3444710733981561,2
Gartenstraße,213.16441281435277,57
Baumeisterstraße,24.87692104521931,32
Sonntagstraße,0.08600577098469848,1
Mathystraße,9.661820210571637,22
Redtenbacherstraße,0.2037858764955803,1
Maximilianstraße,37.0524155361527,41
Wormser Straße,10.727244113197857,2
Landauer Straße,24.539226084929453,18
Durlacher Weg,123.65163594058323,15
Bochumer Straße,0.18803961120311533,1
Straßburger Straße,0.2337672443855296,1
Am Rennbuckel,0.8597481266360293,2
Berliner Straße,38.93506660342054,5
Cäciliastraße,2.4067269500390274,6
Bonner Platz,0.2911422457771555,1
Rudolf-Freytag-Straße,0.5483652835550716,3
Heimgartenweg,2.0664934881603667,5
Wiesbadener Straße,1.4509749456091863,3
Karlsruher Weg,15.22956392246768,5
Bonner Straße,1.7256789409724012,3
Seydlitzstraße,0.5154786853024849,3
Feierabendweg,0.4054412531301423,1
Bodelschwinghstraße,47.55311386236767,4
Keplerstraße,81.96253075895163,9
Neugrabenstraße,0.14077023944330855,1
Steubenstraße,1.229036069049312,2
Sonnenstraße,31.639740946036135,11
Moltkestraße,87.93929683418042,58
Adenauerring,82.34134336626961,103
Stephanienstraße,9.694998196085168,14
Gustav-Binz-Straße,0.2207973274195309,1
Roggenbachstraße,0.3081561724317893,2
Damaschkestraße,17.230281337872462,4
Freydorfstraße,0.37402050674449056,2
Knielinger Allee,15.1097014916336,11
Willy-Andreas-Allee,2.8334701720527855,7
Michiganstraße,1.7288809447901685,6
Alfons-Fischer-Allee,0.34503557553421743,2
